username,ticker,tweets_analysed,avg_pct_change_5m,avg_pct_change_15m,avg_pct_change_30m,median_pct_change_30m,std_pct_change_30m,avg_likes,avg_retweets
RaoulGMI,SI=F,1,-0.3008868485604878,-0.4843596285975206,-0.7632418377065454,-0.7632418377065454,,209.0,21.0
federalreserve,SI=F,7,0.06772539259124265,0.3065009603349937,0.7143860591276449,0.4032254188043424,1.08469933411612,109.0,26.857142857142858
GazpromEN,CL=F,1,-0.0460256746540481,0.3912050668096509,-0.6328420533683631,-0.6328420533683631,,5.0,3.0
MFA_Russia,CL=F,47,0.010908253605499336,-0.07971423953093397,-0.2659809898736766,-0.0967702557963709,0.7430666432357403,266.70212765957444,107.91489361702128
Reuters,CL=F,70,0.06130594614616006,0.14854967377839695,0.20518982580231185,0.18121323239412196,0.6314796703646598,62.214285714285715,19.67142857142857
PeterSchiff,SI=F,63,-0.005600757009500604,0.03011250990697689,0.18102698329102962,0.0,1.244097845260368,956.1746031746031,121.85714285714286
RaoulGMI,CL=F,8,-0.08398338997579868,-0.12341996016305219,-0.179808589625634,0.0,0.3506625300940592,921.25,65.75
POTUS,CL=F,49,0.06010339408432262,0.0025577352644380893,0.1751655610793315,0.0,0.8008681131837057,0.0,6750.775510204082
FT,CL=F,59,0.017363201946995994,0.1535457168711087,0.17380528874839005,0.0,0.7792876902459692,340.03389830508473,121.79661016949153
Chevron,CL=F,6,0.06814969903661393,0.05574560236543713,-0.1730053683205993,-0.06606579018667535,0.2145955113117989,193.0,58.166666666666664
Reuters,HG=F,1,-0.0493991820556921,-0.1234901040295584,-0.1646534720394113,-0.1646534720394113,,88.0,37.0
federalreserve,CL=F,13,0.04747381484101882,0.2727527866929573,0.16206286974520545,-0.0436072321633903,0.5804840341374509,73.38461538461539,18.076923076923077
USTreasury,CL=F,9,0.19781817115656491,0.0816779576847318,-0.16074295140584463,-0.0335342060412217,0.575598178050751,1945.5555555555557,523.3333333333334
OPECSecretariat,CL=F,35,0.006007952135858811,-0.04002818564823254,-0.13474219247366911,0.0610367098753283,0.9666042359595177,20.17142857142857,7.857142857142857
OPECSecretariat,NG=F,15,-0.020634576651694516,-0.13301294747845804,-0.12730848394712246,-0.1122342263995272,0.6058155104913712,21.933333333333334,8.133333333333333
POTUS,NG=F,47,0.022502387757642538,0.01100850896129938,0.12304640605768197,0.0,0.49374520977632097,0.0,6427.702127659574
ReutersBiz,CL=F,49,0.0589102607989622,0.0705771635034453,0.12177606280447614,0.0343431938419124,0.763150236432136,16.693877551020407,4.959183673469388
GoldSeek,SI=F,43,-0.023031255337238325,0.022073342494203313,0.11669720703985581,0.1065819241036442,0.813227962337177,227.06976744186048,24.976744186046513
CNBC,CL=F,63,0.009242531779804629,0.0908609925238862,0.11282823401736701,0.022901285415436,0.8382450995479238,26.841269841269842,6.031746031746032
elerianm,CL=F,83,-0.050991043409636526,-0.01854848856847715,-0.1110729295126499,0.0111384224473732,0.8703408779291062,258.65060240963857,59.6144578313253
LukeGromen,SI=F,21,0.0316225479523499,-0.016167397303471293,0.10334122380282865,-0.0807640329047615,0.8571957787767831,669.2380952380952,169.0
MFA_Russia,GC=F,39,0.011678245911222011,0.03214329233676695,0.09850556579773188,0.0441475227296615,0.21298242755259691,307.64102564102564,119.94871794871794
Reuters,NG=F,41,0.021607387157946193,0.09947947874892803,0.09078118264580318,0.0368161815632919,0.31843636900206784,65.58536585365853,21.5609756097561
EnergyIntel,CL=F,158,0.013924109288823752,0.012394271885648152,-0.07887186231512625,0.0051335128405171,1.0258608074380244,2.588607594936709,2.1835443037974684
elerianm,GC=F,100,0.007894335458370306,0.024667084939450204,0.07018705856874233,0.0273610034037909,0.33127378552126135,235.34,50.18
Chevron,NG=F,5,-0.002240988619144918,-0.02383482091463916,-0.06963500994125538,0.0,0.2663466323006059,238.4,72.0
